"norm_cidade","LOCAL_VOTACAO","Escola",match
"RIO BRANCO","ESCOLA JOAO MARIANO","ESC JOAO MARIANO DA SILVA",1
"RIO BRANCO","ESCOLA MANOEL MACHADO","ESC RURAL MANOEL MACHADO",1
"RIO BRANCO","ESCOLA HUMBERTO SOARES","ESC HUMBERTO SOARES DA COSTA",1
"RIO BRANCO","CEJA - SAO FRANCISCO","ESC SAO FRANCISCO I",1
"CAPIXABA","ESCOLA MUNICIPAL JOSE SILVEIRA","ESC JOSE SILVEIRA DA COSTA",1
"CAPIXABA","ESCOLA MUNICIPAL RURAL SAO FRANCISCO","ESC SAO FRANCISCO",1
"SENA MADUREIRA","EEFC - ESCOLA DE ENSINO FUNDAMENTAL CAZUMBA","ESC CAZUMBA",1
"TARAUACA","ESCOLA DONIZETE MOTA","ESC MARIA DONIZETE MOTA",1
"TARAUACA","ESCOLA ESTADUAL DE 1º GRAU IVAN STTIHU","ESC INDIGENA IVA STTIHO",1
"BRASILEIA","ESCOLA FONTENELE DE CASTRO","ESC CEL MANOEL FONTENELE DE CASTRO",1
"FEIJO","ESCOLA IVO NEVES","ESC IVO NEVES DE SOUZA",1
"PLACIDO DE CASTRO","ESCOLA JOSE VALMIR","ESC JOSE VALMIR DE LIMA",1
"SENADOR GUIOMARD","ESCOLA ESTADUAL RURAL BOM DESTINO","ESC BOM DESTINO",1
"RIO BRANCO","ESCOLA PUBLICA ALCIMAR LEITAO","ESC ALCIMAR NUNES LEITAO",1
"RIO BRANCO","ESCOLA ESTADUAL RURAL JORGE KALUME","ESC JORGE KALUME",1
"RIO BRANCO","ESCOLA DOUTOR JOAO AGUIAR","ESC DR JOAO BATISTA AGUIAR",1
"MACEIO","ESCOLA PROFESSOR EDUARDO ALMEIDA","ESCOLA ESTADUAL PROF EDUARDO ALMEIDA DA SILVA",1
"MACEIO","COLEGIO CONTATO","COLEGIO CONTATO MACEIO",1
"CAJUEIRO","ESCOLA MUNICIPAL DE EDUCACAO BASICA ALTINA TOLEDO","ESCOLA MUNICIPAL DE EDUCACAO BASICA ALTINA RIBEIRO TOLEDO",1
"SANTA LUZIA DO NORTE","GRUPO ESCOLAR IOLANDA ROMEIRO","ESCOLA MUNICIPAL PROFª IOLANDA ROMEIRO LOPES",1
"PALMEIRA DOS INDIOS","ESCOLA ESTADUAL EGIDIO BARBOSA","ESCOLA ESTADUAL EGIDIO BARBOSA DA SILVA",1
"JAPARATINGA","GRUPO ESCOLAR MARECHAL COSTA E SILVA","ESCOLA MUNICIPAL MARECHAL ARTHUR COSTA E SILVA",1
"PORTO CALVO","GRUPO LAMENHA FILHO","ESCOLA MUNICIPAL DE ENSINO FUNDAMENTAL LAMENHA FILHO",1
"IBATEGUARA","GRUPO ESCOLAR AFRANIO LAGES","ESCOLA MUNICIPAL DE ENSINO FUND GOV AFRANIO LAGES",1
"BELEM","ESCOLA MUNICIPAL JOAO MATEUS","ESCOLA MUNICIPAL JOAO MATEUS DA SILVA",1
"MACEIO","ESCOLA ESTADUAL PROF. REMI LIMA","ESCOLA ESTADUAL PROFESSOR JOSE REMI LIMA",1
"MACEIO","COLEGIO CARVALHO","COLEGIO CARVALHO LTDA - ME",1
"DELMIRO GOUVEIA","JOSE CORREIA FILHO,ESCOLA","ESCOLA MUNICIPAL DE EDUCACAO BASICA DR JOSE CORREIA FILHO",1
"DELMIRO GOUVEIA","RUI BARBOSA,ESCOLA MUNICIPAL","ESCOLA MUNICIPAL DE EDUCACAO BASICA RUI BARBOSA",1
"PIRANHAS","UNIDADE ESCOLAR DE XINGO - UNEX I","ESCOLA ESTADUAL DE XINGO I EEXI",1
"IGACI","CASINHA FELIZ","ESCOLA MUNICIPAL DE ENSINO FUND CASINHA FELIZ",1
"IGACI","ESCOLA OTACILIA JATOBA","ESCOLA ESTADUAL OTACILIA JATOBA TORRES",1
"MARIBONDO","GRUPO ESCOLAR ANTONIO BOMFIM","ESCOLA MUNICIPAL DE EDUCACAO BASICA ANTONIO BONFIM",1
"FEIRA GRANDE","DIVALDO SURUAGY","ESCOLA MUNICIPAL DE ENSINO FUNDAMENTAL DIVALDO SURUAGY",1
"MACEIO","ESCOLA MUNICIPAL JAIME MIRANDA","ESCOLA MUNICIPAL JAIME AMORIM MIRANDA",1
"ARAPIRACA","GRUPO ESCOLAR DOMINGOS LOPES","ESCOLA DE ENSINO FUNDAMENTAL DOMINGOS LOPES DA SILVA",1
"ARAPIRACA","ESCOLA ENSINO FUNDAMENTAL DIVALDO SURUAGY","ESCOLA DE ENSINO FUND CEL PEDRO SURUAGY",1
"ITACOATIARA","ESCOLA MUNICIPAL DOM PAULO","ESC DOM PAULO MCHUGH",1
"URUCURITUBA","GINASIO MARIA ARRUDA","ESCOLA ESTADUAL MARIA ARRUDA",1
"URUCURITUBA","ESCOLA ESTADUAL LICINIO ARAUJO","ESCOLA ESTADUAL LICINIO JOSE DE ARAUJO",1
"URUCURITUBA","ESCOLA DE SANTA CRUZ","E M SANTA CRUZ",1
"PARINTINS","ESCOLA SAO JOSE OPERARIO","ESCOLA MUNICIPAL SAO JOSE CENTRO",1
